analysis_area_id	month	year	monthly_factor
1	1	2012	0.79
1	2	2012	0.89
1	3	2012	0.76
1	4	2012	1.10
1	5	2012	1.31
1	6	2012	0.99
1	7	2012	0.93
1	8	2012	1.28
1	9	2012	1.47
1	10	2012	1.12
1	11	2012	0.96
1	12	2012	0.66
1	1	2013	0.68
1	2	2013	0.84
1	3	2013	0.86
1	4	2013	1.07
1	5	2013	1.17
1	6	2013	1.27
1	7	2013	1.31
1	8	2013	1.32
1	9	2013	1.12
1	10	2013	1.09
1	11	2013	0.88
1	12	2013	0.59
1	1	2014	0.81
1	2	2014	0.63
1	3	2014	0.79
1	4	2014	1.05
1	5	2014	1.24
1	6	2014	1.23
1	7	2014	1.31
1	8	2014	1.34
1	9	2014	1.29
1	10	2014	1.09
1	11	2014	0.81
1	12	2014	0.67
1	1	2015	0.88
1	2	2015	0.93
1	3	2015	0.86
1	4	2015	1.11
1	5	2015	1.25
1	6	2015	1.36
1	7	2015	1.31
1	8	2015	1.34
1	9	2015	1.07
1	10	2015	0.93
1	11	2015	0.74
1	12	2015	0.47
1	1	2016	0.75
1	2	2016	0.52
1	3	2016	0.86
1	4	2016	1.28
1	5	2016	1.38
1	6	2016	1.33
1	7	2016	1.46
1	8	2016	1.43
1	9	2016	0.95
1	10	2016	0.95
1	11	2016	1.00
1	12	2016	0.39
2	1	2013	0.49
2	2	2013	0.46
2	3	2013	0.59
2	4	2013	1.24
2	5	2013	1.36
2	6	2013	1.35
2	7	2013	1.43
2	8	2013	1.47
2	9	2013	1.49
2	10	2013	1.02
2	11	2013	0.77
2	12	2013	0.41
2	1	2014	0.24
2	2	2014	0.33
2	3	2014	0.49
2	4	2014	1.16
2	5	2014	1.54
2	6	2014	1.62
2	7	2014	1.56
2	8	2014	1.48
2	9	2014	1.44
2	10	2014	1.05
2	11	2014	0.65
2	12	2014	0.45
2	1	2015	0.26
2	2	2015	0.27
2	3	2015	0.54
2	4	2015	1.11
2	5	2015	1.61
2	6	2015	1.42
2	7	2015	1.41
2	8	2015	1.56
2	9	2015	1.36
2	10	2015	1.01
2	11	2015	0.81
2	12	2015	0.66
2	1	2016	0.31
2	2	2016	0.39
2	3	2016	0.85
2	4	2016	1.00
2	5	2016	1.11
2	6	2016	1.64
2	7	2016	1.47
2	8	2016	1.43
2	9	2016	1.36
2	10	2016	1.17
2	11	2016	0.95
2	12	2016	0.49
3	1	2013	0.75
3	2	2013	0.74
3	3	2013	0.90
3	4	2013	1.20
3	5	2013	1.22
3	6	2013	1.05
3	7	2013	0.98
3	8	2013	1.21
3	9	2013	1.28
3	10	2013	1.10
3	11	2013	0.90
3	12	2013	0.68
3	1	2014	0.52
3	2	2014	0.71
3	3	2014	0.80
3	4	2014	1.10
3	5	2014	1.34
3	6	2014	1.29
3	7	2014	1.18
3	8	2014	1.23
3	9	2014	1.22
3	10	2014	1.07
3	11	2014	0.77
3	12	2014	0.63
3	1	2015	0.61
3	2	2015	0.61
3	3	2015	0.89
3	4	2015	1.18
3	5	2015	1.27
3	6	2015	1.18
3	7	2015	1.17
3	8	2015	1.23
3	9	2015	1.16
3	10	2015	1.01
3	11	2015	0.85
3	12	2015	0.73
3	1	2016	0.68
3	2	2016	0.78
3	3	2016	0.99
3	4	2016	1.08
3	5	2016	1.12
3	6	2016	1.31
3	7	2016	1.14
3	8	2016	1.11
3	9	2016	1.06
3	10	2016	1.13
3	11	2016	0.93
3	12	2016	0.64
4	1	2013	0.83
4	2	2013	0.86
4	3	2013	0.94
4	4	2013	1.23
4	5	2013	1.22
4	6	2013	1.22
4	7	2013	1.03
4	8	2013	1.12
4	9	2013	1.21
4	10	2013	0.99
4	11	2013	0.93
4	12	2013	0.64
4	1	2014	0.50
4	2	2014	0.68
